2021-10-13 23:39:34.973 INFO  Logging to 'C:\Projects\NServiceBus\NServiceBus\Ecommerce\Ecommerce.Application\bin\Debug\net5.0\' with level Info
2021-10-13 23:39:35.427 INFO  No valid license could be found. Falling back to trial license with start date '2020-12-30'.
2021-10-13 23:39:35.435 ERROR Trial license expired. Get your free development license at https://particular.net/license/nservicebus?v=7.5.0&t=0&p=windows
2021-10-13 23:39:35.440 WARN  Opening browser to: https://particular.net/license/nservicebus?v=7.5.0&t=0&p=windows
2021-10-13 23:45:08.546 INFO  Logging to 'C:\Projects\NServiceBus\NServiceBus\Ecommerce\Ecommerce.Application\bin\Debug\net5.0\' with level Info
2021-10-13 23:45:09.305 INFO  Selected active license from C:\Users\AlexandreY\AppData\Local\ParticularSoftware\license.xml
License Expiration: 2022-01-11
2021-10-13 23:45:18.684 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:45:21.927 INFO  Sending InitiateOrder command, TransactionId = 7f918f44-9458-4acd-9e04-9c7c4a8c0db3 and OrderId = 0001
2021-10-13 23:45:22.417 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:45:22.424 INFO  Unknown input. Please try again.
2021-10-13 23:45:22.430 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:45:24.691 INFO  Sending InitiateOrder command, TransactionId = c3372e44-9dc1-4ebc-a025-9e463bdefb5c and OrderId = 0001
2021-10-13 23:45:24.764 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:02.863 INFO  Logging to 'C:\Projects\NServiceBus\NServiceBus\Ecommerce\Ecommerce.Application\bin\Debug\net5.0\' with level Info
2021-10-13 23:46:03.461 INFO  Selected active license from C:\Users\AlexandreY\AppData\Local\ParticularSoftware\license.xml
License Expiration: 2022-01-11
2021-10-13 23:46:05.417 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:06.728 INFO  Sending InitiateOrder command, TransactionId = 372f19cf-6cb5-4132-a7a1-f5664080609a and OrderId = 0001
2021-10-13 23:46:07.118 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:09.815 INFO  Sending InitiateOrder command, TransactionId = e823ae65-87b1-4c5e-97f0-463f738f0e5e and OrderId = 0001
2021-10-13 23:46:09.851 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:10.714 INFO  Sending InitiateOrder command, TransactionId = fe8831a5-089e-46fd-8d64-28571d65fd72 and OrderId = 0001
2021-10-13 23:46:10.743 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.219 INFO  Sending InitiateOrder command, TransactionId = 6df8f5c2-58f0-4579-b4d8-eed034d760d4 and OrderId = 0001
2021-10-13 23:46:11.244 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.250 INFO  Sending InitiateOrder command, TransactionId = c403a261-2ee0-4c15-b54e-d3e18b19554d and OrderId = 0001
2021-10-13 23:46:11.275 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.284 INFO  Sending InitiateOrder command, TransactionId = 508352d1-2e0b-4944-8c08-cfda94456f68 and OrderId = 0001
2021-10-13 23:46:11.342 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.350 INFO  Sending InitiateOrder command, TransactionId = 2e6fcfaa-0089-41eb-b2b3-e049cb77ae51 and OrderId = 0001
2021-10-13 23:46:11.372 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.381 INFO  Sending InitiateOrder command, TransactionId = b3a0abb5-4fb0-4f46-bd10-6287d97ef63d and OrderId = 0001
2021-10-13 23:46:11.401 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.413 INFO  Sending InitiateOrder command, TransactionId = c93bcfea-a3e5-4e3a-bde3-0256c91f0a10 and OrderId = 0001
2021-10-13 23:46:11.438 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.448 INFO  Sending InitiateOrder command, TransactionId = 898d9dd5-5267-48c2-bdb0-c6e0102f9e91 and OrderId = 0001
2021-10-13 23:46:11.473 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.487 INFO  Sending InitiateOrder command, TransactionId = 10d49302-6584-43dd-9bfc-b29d59eacf97 and OrderId = 0001
2021-10-13 23:46:11.511 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.520 INFO  Sending InitiateOrder command, TransactionId = 797834d4-9a76-4b59-bcfa-11c250ba5afe and OrderId = 0001
2021-10-13 23:46:11.543 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.553 INFO  Sending InitiateOrder command, TransactionId = 69439018-9b76-4960-af3b-4a3db6ea9cdd and OrderId = 0001
2021-10-13 23:46:11.579 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.600 INFO  Sending InitiateOrder command, TransactionId = 2f069377-b1d7-4795-9e62-479e961e4cc6 and OrderId = 0001
2021-10-13 23:46:11.623 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.632 INFO  Sending InitiateOrder command, TransactionId = 83c4abab-71d2-4ec5-aa14-c58b147219ce and OrderId = 0001
2021-10-13 23:46:11.652 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.662 INFO  Sending InitiateOrder command, TransactionId = af706635-283a-4f93-9208-71aa225ac2d6 and OrderId = 0001
